clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales
3,R2LMS2-R,12.01,1.007296821,10.048,0.497130418,-3.431,5.283735478,-0.689,0.497031466,9.033,-0.170588094,50.661
1,KHS6Z8-R,355189.0,1.89106349,111055.0,2.929206341,923.0,6.090285406,10107.0,1.933493378,-10509.0,0.0,12674.0
6,QCRV31-R,36.87105467,4.118423223,23.77939385,0.219972954,17.76625332,20.36737298,-52.32879949,0.184362578,12.78917372,0.100869629,31.54284753
1,QG1XJM-R,100146.0,1.232050588,138671.0,2.935084452,2825.0,6.090285406,4043.0,1.709706239,-6848.0,0.0,42017.0
4,PSPYDR-R,0.276551,1.248948864,0.0,0.0,-0.9881,6.090285406,0.198502,0.0,-0.747377,-17.92504172,0.0
2,VS8BXL-R,26.8092326,1.539854031,3726.910275,3.045674658,93.26593252,1710.915191,322.2977432,1.856295857,128.5915748,0.0,351.6188057
5,GD4WKL-R,2.074655082,0.142081875,14.14187804,79.18971061,0.615686747,6.013167847,0.044185437,24.01286174,1.201146214,-0.309612601,6.450492375
5,NM9473-R,3771.132253,0.426629199,21546.23343,3.206167107,3037.223418,22.31662344,-1671.198127,3.319152483,3168.010823,0.060924142,10652.29066
5,CSN030-R,2476.828233,1.695402299,1870.635018,0.455716916,1296.883735,6.090285406,-581.8358449,0.46776345,924.7494374,0.145628414,6637.397681
5,CMX879-R,3704.8,1.335111175,2585.9,1.173329098,920.8,6.176450348,-466.7,0.813693906,698.3,0.145425354,10285.1
6,RPNZ7P-R,33.14310563,0.724838621,45.71402073,-6.738127822,15.03246992,12.35648856,-3.443916937,-3.405305296,16.66111607,0.180670181,121.9339974
4,HRDDR5-R,9.737,7.277279522,0.0,0.0,-5.615,4.133333333,-0.367,0.0,-3.579,-0.437301526,0.0
6,PX282C-R,3.039281,1.777474769,0.053958,0.019761006,-0.51702,6.994748818,-1.36666,0.014545167,-1.185051,0.0,2.940692
6,CYLSYW-R,1412.381409,0.963242699,583.2625789,0.894677237,309.0226156,14.7989268,-121.4277111,0.581839904,298.1159375,0.165165937,6149.913657
1,P9W20W-R,268059.1434,0.332414671,402882.5596,4.98580676,2368.596143,6.090285406,-36594.63852,4.072967952,-63008.4389,0.0,56831.69707
5,GY9L86-R,19376.13053,1.161547313,22725.82967,0.783490722,5065.062489,2.246334587,-8173.466472,0.735662626,4360.49092,0.034077649,27508.82991
1,CVX4WV-R,18038.31814,1.934901402,9990.032855,0.239105849,24441.14421,6.86761608,-5157.405719,0.240997822,19221.20685,0.310957488,46167.97915
6,M75TL0-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
4,TQ3K5J-R,1198.050869,8.705472103,133.4120861,0.10046703,-56.93287646,10.11933622,-215.3705871,0.09307239,126.735629,-0.054644108,41.51809764
6,MQ39X9-R,51.566,1.638628492,7.772,0.104217231,14.667,7.01963787,-5.282,0.085658733,11.434,0.117502798,115.101
2,CZJ02P-R,16.238,1.454105848,4.187,0.591718485,-0.661,8456.117647,-0.293,0.416054268,5.135,-0.140110432,81.356
1,HKR6LR-R,93621.02699,1.344783337,65772.82292,0.508116309,35812.44944,9.890233676,-3755.533701,0.470255748,30184.60223,0.081871505,190178.3361
4,X0PT2J-R,19.5829789,8.542580316,0.414408191,0.023906666,-9.863341637,2.413383658,-0.044656752,0.018916276,-7.272671087,-0.575284476,1.489911644
4,DMYNMC-R,2.763,131.5714286,0.0,0.0,0.0,6.013167847,0.0,0.0,1.609136544,0.0,0.0
6,KW1JPL-R,358.6,0.983004386,183.3,0.227532274,80.5,79.75,-15.1,0.227220003,23.5,0.027970012,349.3
4,R0CC4K-R,4079.6,61.62537764,3257.0,2.209034183,31.1,6.013167847,477.3,2.209034183,-193.3,0.0,493.8
5,VDV2C7-R,4858.1,0.150549597,8156.0,4.408886967,70.2,6.090285406,-875.4,4.137196605,357.3,0.0,1118.5
1,MQ2RLJ-R,1161.5,0.488826228,1603.6,-19.77311961,347.3,6.013167847,-34.3,-7.116728625,396.3,0.098816568,3324.8
3,GDDT9N-R,416.4,1.488737934,303.4,1.264166667,203.5,5.490744239,-27.1,1.090459713,110.7,0.233729145,910.7
1,KL7C5Q-R,1394.930319,0.432547694,3209.33465,-20.89047619,420.4765097,7.457782894,64.33477816,-4.646190476,391.3893959,0.029267138,918.1547613
4,T43RG5-R,7.407932,113.4498063,1.189584,0.190221711,-1.02299,6.013167847,0.0,0.190221711,-0.924837,-0.137438527,0.4391888
2,MMSBHM-R,4.824255,26.33686365,0.0,0.0,-0.413548,6.090285406,0.108697,0.0,-0.41532,-0.178120566,0.16794
5,V4QWNW-R,12394.01587,1.565370045,6640.330663,0.410371174,298.6693338,6.013167847,-931.879514,0.37776607,1288.255194,0.0,43648.61258
6,KB4JTB-R,330.7,0.170367318,3682.1,2.549048114,100.0,28.90954151,-179.3,1.460366909,113.2,-0.010211821,1341.6
2,GM3Y7Z-R,1.839029348,62.29090909,0.0,0.0,-1.19356,6.090285406,0.009823504,0.0,-0.57412926,-0.595163223,0.0
5,S8ZFWL-R,4862.0,0.601137488,9563.0,1.283107474,3213.0,3.683382498,239.0,0.956615759,1697.0,0.147629653,13234.0
1,J3JCY5-R,1.368694117,0.325778587,5.43322616,-12.35324166,-0.23726,6.013167847,-1.851165646,-6.866381477,-0.350192729,-0.069908069,0.0
1,JTC3C0-R,12807.0,0.845681458,39198.0,0.581564072,12007.0,1.400017735,-1172.0,0.531527101,8271.0,0.09047545,25713.0
2,P1ZZHT-R,15.056,43.76744186,0.0,0.0,-1.884,6.090285406,1.584,0.0,-1.417,-0.124364645,0.0
6,F74N8N-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
4,BL7YD4-R,19.722,38.36964981,0.21,0.009505273,-1.436,6.013167847,1.357,0.0,-1.653,-0.064997963,0.0
2,X42T1S-R,1329.5,29.54444444,0.0,0.0,2.7,6.090285406,0.0,0.0,13.0,0.00130833,0.0
3,KGP98F-R,21.63,1.351875,12.226,7.852280026,4.567,3008.564103,-0.513,5.451509313,2.337,0.123447947,61.252
1,RS2FLX-R,18038.31814,1.934901402,9990.032855,0.239105849,24441.14421,6.86761608,-5157.405719,0.240997822,19221.20685,0.310957488,46167.97915
3,QY051C-R,0.205485,0.926935881,0.05,0.028518173,-0.24279,6.013167847,-0.056551,0.025371478,-0.112039,-0.135052073,0.0
2,LQB0QL-R,43.279,1.270408313,6.54,0.415633937,7.441,927.9655172,-1.647,0.386739576,3.512,0.172851817,141.144
4,L82CJ7-R,5.877,4.376023827,0.0,0.0,-9.192,6.090285406,-1.962,0.0,-8.134,-1.993944637,1.313
3,DF2RPP-R,26.8092326,1.539854031,140.4695322,0.182319705,154.14128,6.013167847,-7.132491167,0.182584129,33.71658224,0.0,77.72870581
6,NFSSB7-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
4,CQ9GMT-R,12.022745,48.86480302,0.396453,0.029502963,-1.5866,6.013167847,-0.518558,0.022611549,-1.308299,-0.123664064,0.0
5,NSGMFV-R,1005.889023,2.175632911,1294.853506,0.884115884,1312.429479,1.681945593,-459.3113253,0.714285714,929.5400675,0.408975947,2234.171387
1,KZS6TN-R,35.66772742,0.115732455,284.3856761,-19.30001986,17.51777714,2.46436844,-1.514401687,-0.984112799,10.50177524,17.99039857,50.31057634
3,DG6DN2-R,1.938144043,0.436764684,2.720676689,0.198566658,-0.563620618,73.43796125,-0.212199493,0.0,-1.196365636,-0.033162493,1.322195884
3,JTD6G1-R,4.018,3.606822262,0.438,0.112336497,-1.457,6.836279785,-0.277,0.102590408,-1.091,-0.436147941,5.705
2,W5BL59-R,3.035682,22.36196888,8.492356307,0.127926584,-1.18415,6.090285406,-0.217125,0.064841377,-0.926421,-0.271594971,0.0
3,LC2GVC-R,85.583,2.544008799,8.99,0.071279624,32.859,3.257406559,-6.361,0.0399297,27.247,0.176834477,152.723
5,RT2GT1-R,139289.6595,2.029158185,85827.57233,2.538832745,975.5491816,6.013167847,-3492.013777,2.435281132,19781.57961,0.0,16297.36399
1,JBJ78F-R,93621.02699,1.344783337,65772.82292,0.508116309,35812.44944,9.890233676,-3755.533701,0.470255748,30184.60223,0.081871505,190178.3361
5,DTMN8J-R,13738.0,1.002773723,7330.0,-1.503589744,373.0,3.001498127,-1010.0,-1.237083929,-3097.0,-0.049630145,11824.0
3,RRZCS1-R,360.4813636,3.965045544,366.1838399,0.673054039,105.8318755,17.97590609,-59.87267391,0.762333073,86.38484104,0.064492015,275.1126674
1,HG7H7Q-R,303.0103515,0.14365484,2034.163649,-17.06936771,251.8024228,85.48914927,-227.3162162,-3.224677716,296.4858504,-0.145613004,740.356829
2,R0CC4K-R,5729.9,77.95782313,6177.1,3.525943262,29.5,6.090285406,-123.8,3.525943262,297.9,0.0,532.1
2,R72Z5H-R,4.861,0.626659791,2.108,-1.187605634,-0.678,6.013167847,-0.397,-1.03943662,0.532,-12.5078125,14.179
4,JJCL9S-R,1.212701,14.44568726,0.0,0.0,-0.37162,6.090285406,-1.033329,0.0,0.30791,-0.061281264,0.0
5,JLDDZL-R,5957.057683,3.668018018,3771.169392,0.162567014,5271.552738,3.943659598,-1104.218738,0.219999143,4334.214509,0.106413946,9764.069786
4,PM0GJV-R,0.95078,5.291459356,0.0,0.0,-4.484106,6.090285406,-0.069093,0.0,-4.196673,-3.945652861,0.0
6,T3ZPL7-R,32.226,1.716864888,0.0,0.0,16.015,6.090285406,18.991,0.0,-0.517,0.0,4.107
6,RWL1RV-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
5,RT2GT1-R,134996.493,2.217202032,93000.84905,2.715816481,858.7193225,6.090285406,35644.48656,2.536087337,-4296.50506,0.0,13723.51269
3,TD3Q7R-R,12.962656,20.49733162,22.053341,1.03001485,-2.94974,6.013167847,-4.153198,1.03001485,-3.036687,-0.057819946,0.0
