clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales
5,B03YJQ-R,11.213,0.829302566,55.123,92.48825503,-2.755,13.56440072,1.919,87.61577181,4.926,-0.144504978,24.228
5,B03YJQ-R,14.463,1.127279813,53.431,28.0625,3.663,17.3910828,-0.541,26.83508403,7.767,-0.014594848,34.909
4,BJ0WPB-R,3.241258,159.6678818,0.0,0.0,-0.00129,6.013167847,0.0,0.0,1.609136544,-0.000400502,0.018
4,BV1CVQ-R,8.56,267.5,0.0,0.0,-0.534,0.0,-0.164,0.0,-0.748,-0.014020532,0.0
2,C3B1CL-R,1.298807,0.408750448,5.760948,-1.843959482,-1.392061,780.5261618,0.0,-1.715662466,-1.040566,-0.807914694,1.901307
6,CGF31Z-R,14462.04861,0.784625097,23959.00571,1.516114415,10120.92022,6.779725753,-1633.926338,1.472618892,7814.932774,0.197652302,45092.09988
1,CGF31Z-R,14609.92816,0.702276213,24912.69401,1.502684088,9782.061424,6.56227944,-3075.909142,1.321739639,6718.184342,0.196028846,45072.08131
6,CKVFC8-R,64131.0,1.526565104,11125.0,0.541099222,296.0,6.013167847,-15388.0,0.527901209,12003.0,0.0,46330.0
5,CKVFC8-R,41021.0,2.293213327,8423.0,0.432970083,220.0,6.090285406,-6575.0,0.404957373,3302.0,0.0,31981.0
6,CVX4WV-R,15256.59315,1.796760576,10118.14624,0.266477853,16883.00542,7.494200597,-5011.874173,0.281527607,12912.18493,0.21122294,34788.34895
1,CVX4WV-R,18038.31814,1.934901402,9990.032855,0.239105849,24441.14421,6.86761608,-5157.405719,0.240997822,19221.20685,0.310957488,46167.97915
2,CZJ02P-R,16.238,1.454105848,4.187,0.591718485,-0.661,8456.117647,-0.293,0.416054268,5.135,-0.140110432,81.356
3,CZJ02P-R,14.448,1.512562814,5.923,0.904827375,0.739,4767.142857,-0.279,0.427894898,-2.439,-0.007704485,77.715
2,DK3WC4-R,5.746,0.925878182,0.098,1.719298246,-0.408,25.46153846,-0.042,0.0,1.014,-9.578947368,6.741
4,DMYNMC-R,2.763,131.5714286,0.0,0.0,0.0,6.013167847,0.0,0.0,1.609136544,0.0,0.0
2,FFRVSC-R,5.252766,104.0605016,0.043788,0.008371999,-0.137917,6.090285406,0.0,0.006336166,-0.439321,-0.026264232,0.2592
6,FS0C66-R,440.9908081,1.037159229,556.3882019,-538.2857143,135.0974217,130.8838036,-44.49925701,-37.66883117,105.722091,0.08816636,983.4190378
