clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales,debt_ltd_com_eq_interaction,sale_assets_curr_interaction,sale_debt_interaction,ebitda_sales_interaction
5,B03YJQ-R,11.213,0.829302566,55.123,92.48825503,-2.755,13.56440072,1.919,87.61577181,4.926,-0.144504978,24.228,4829.644189482629,271.668564,1335.520044,-66.74814
5,B03YJQ-R,14.463,1.127279813,53.431,28.0625,3.663,17.3910828,-0.541,26.83508403,7.767,-0.014594848,34.909,1433.82537480693,504.88886699999995,1865.222779,127.87166699999999
3,B04MZH-R,13932.0,1.539854031,0.0,0.0,0.0,6.013167847,0.0,0.0,0.0,0.0,120.0,0.0,1671840.0,0.0,0.0
6,B04MZH-R,13932.0,1.716864888,0.0,0.0,0.0,6.090285406,0.0,0.0,0.0,0.0,66.0,0.0,919512.0,0.0,0.0
3,B07C51-R,95.45557628,1.007411811,30.77654633,2.04391974,28.80871948,6.068169709,-7.426182939,0.158480299,30.62023514,0.982798351,244.4666983,4.877476264565752,23335.709567495396,7523.840666372082,7042.772533526493
6,B07C51-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
3,B0KD9G-R,26.8092326,1.539854031,7.591614679,0.131258594,2.032,6.013167847,-1.4,0.06221338,1.609136544,0.0,22.93340572,0.472300008838205,614.8270082576505,174.10157950341457,46.60068042304
6,B0KD9G-R,0.533,0.301983003,0.219,0.066727605,-1.0464,2.906959707,-0.568,0.036685228,-1.181,-0.285783249,0.3616,0.008034064932,0.1927328,0.0791904,-0.37837824
5,B18MVG-R,33689.0,5.947916667,8621.0,1.543598926,128.0,6.013167847,-957.0,1.541868388,2387.0,0.0,15761.0,13292.447372948,530972329.0,135875581.0,2017408.0
5,B18MVG-R,31959.0,4.370760394,9343.0,1.747988775,148.0,6.090285406,-466.0,1.759441088,1122.0,0.0,16247.0,16438.458085184,519237873.0,151795721.0,2404556.0
3,B1B79C-R,15.073,1.045429324,17.986,0.24572381,-0.787,160.2804878,-35.592,0.245341275,-4.265,-0.036661803,12.991,4.41270817215,195.813343,233.656126,-10.223917
6,B1B79C-R,42.317,1.834207447,23.924,0.173154032,35.839,147.4716526,-49.493,0.172654633,23.991,0.043165688,86.763,4.130589439892,3671.549871,2075.7180120000003,3109.499157
3,B28KL7-R,5.84659278,2.188989318,0.681078313,0.178660526,0.249547563,3.272493623,-0.059265977,0.084820572,1.668805155,0.015827486,10.57273845,0.05776945208545503,61.814496286598384,7.200862867316234,2.638401114433897
6,B28KL7-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
3,B29CC7-R,26.8092326,1.539854031,1.082862,1.939254035,1.942635,6.013167847,0.0,1.023118209,-0.314064,0.0,5.25887,1.107895830034158,140.986269043162,5.69463048594,10.216064922449998
6,B29CC7-R,32.226,1.716864888,1.838363,0.827959788,7.725807,6.090285406,-0.301463,0.462355761,-0.318114,0.0,11.725691,0.849977723859243,377.87211816599995,21.556076483833,90.59042560763699
3,B2BF3Z-R,176.4,0.857142857,102.9,0.294842407,37.1,6.013167847,-9.7,0.109169054,84.0,0.026805659,542.1,11.2334956566,95626.44,55782.090000000004,20111.91
6,B2BF3Z-R,200.4,1.187907528,90.5,0.259609868,46.8,6.090285406,-13.2,0.228341939,24.7,0.054133635,560.4,20.6649454795,112304.16,50716.2,26226.719999999998
3,B2D7QT-R,684.6,1.190608696,148.5,0.678702011,36.9,6.013167847,-0.4,0.62209037,90.2,0.017795485,2000.9,92.380419945,1369816.1400000001,297133.65,73833.21
6,B2D7QT-R,697.3,1.196260079,122.4,0.54691689,43.8,6.090285406,-4.1,0.506481895,6.9,0.053114572,2262.4,61.993383947999995,1577571.52,276917.76,99093.12
3,B4Q5T6-R,671.494934,2.07763694,752.770767,0.198944377,654.1872191,7.602146552,42.73388901,0.233785059,438.9581409,0.058086684,1217.291984,175.98655817657024,817405.400454809,916341.8204586316,796336.8578456816
6,B4Q5T6-R,616.8555502,1.874158816,617.667688,0.16078567,719.8409213,7.362985644,-277.1023995,0.185172547,505.4155809,0.06554081,1319.999202,114.37509898656133,814248.834013271,815320.855261185,950189.4416829448
3,B4SZNB-R,26.8092326,1.539854031,7.591614679,0.131258594,2.032,6.013167847,-1.4,0.06221338,1.609136544,0.0,22.93340572,0.472300008838205,614.8270082576505,174.10157950341457,46.60068042304
6,B4SZNB-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
